Energy	20221103_0419_Cr_22151b_75K_60deg_6T_minus_0000	20221103_0422_Cr_22151b_75K_60deg_6T_plus_0000	20221103_0426_Cr_22151b_75K_60deg_6T_plus_0000	20221103_0429_Cr_22151b_75K_60deg_6T_minus_0000	20221103_0433_Cr_22151b_75K_60deg_6T_minus_0000	20221103_0436_Cr_22151b_75K_60deg_6T_plus_0000	c+ H+	c- H+	c+ H-	c- H-	XMCD H+	XMCD H-	XAS	XMCD	XAS normalized by jump	XMCD normalized by XAS jump
eV	cminus fieldplus	cplus fieldplus					arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units
			cplus fieldplus	cminus fieldplus	cminus fieldplus	cplus fieldplus					c-H+ - c+H+	c-H- - c+H-		XMCD H+ - XMCD H-		
565.003	0.11501703082468	0.108781431624952	0.106946246417043	0.106495792271519	0.105956460075863	0.105257534040646	0.106101890228845	0.106226126173691	0	0	1.24235944846327E-4	0	0.212328016402535	1.24235944846327E-4	-0.0074758964793597	4.0206727393765E-4
565.014	0.114963985204565	0.108778744055201	0.106932402705083	0.106469500172775	0.105946664239044	0.105244304816632	0.106088353760858	0.106208082205909	0	0	1.19728445051898E-4	0	0.212296435966767	1.19728445051898E-4	-0.00750677996895439	3.87479562169833E-4
565.025	0.114967126110682	0.108736087750323	0.106919428061225	0.106463204930404	0.105948013022365	0.105293877067282	0.106106652564253	0.106205608976385	0	0	9.89564121313125E-5	0	0.212312261540638	9.89564121313125E-5	-0.00738424244108565	3.20254616435702E-4
565.036	0.114905527635146	0.108737812454783	0.10692894780874	0.106466340183061	0.105955721924935	0.105266643139548	0.106097795474144	0.106211031053998	0	0	1.13235579854265E-4	0	0.212308826528142	1.13235579854265E-4	-0.00732403833422849	3.66466572625737E-4
565.047	0.114877581780284	0.10872442714104	0.106925872096199	0.10649827656994	0.105956980470353	0.105244402484072	0.106085137290135	0.106227628520147	0	0	1.42491230011241E-4	0	0.212312765810282	1.42491230011241E-4	-0.00723996865010208	4.61147218556661E-4
565.058	0.114881405219243	0.108722121857029	0.106934972066818	0.106476750299655	0.105907121521966	0.105231419032702	0.10608319554976	0.10619193591081	0	0	1.08740361049978E-4	0	0.21227513146057	1.08740361049978E-4	-0.00729044454251508	3.51918606072026E-4
565.069	0.114861907555584	0.108719744279367	0.10691113663575	0.106487531504505	0.105911066665627	0.10524010393658	0.106075620286165	0.106199299085066	0	0	1.23678798900545E-4	0	0.212274919371231	1.23678798900545E-4	-0.00721981002496308	4.00264171366306E-4
565.08	0.114851113047793	0.108719149316012	0.106899444373409	0.106458111673245	0.105923405948879	0.10524409625097	0.10607177031219	0.106190758811062	0	0	1.1898849887243E-4	0	0.212262529123252	1.1898849887243E-4	-0.00718858792587273	3.85084859544863E-4
